lon,lat,degree,betweenness
18.30705,42.66046,3,2855.0
18.36856,42.72453,3,5763.0
18.41233,42.73679,3,12249.0
18.42914,42.77199,3,62414.0
18.47158,42.78535,3,55518.0
18.53334,43.14974,3,23023.0
18.76125,43.51154,3,382786.0
18.80164,43.59594,3,377579.0
18.69045,42.74895,3,50539.0
18.9817,42.76575,3,49390.0
18.6916,42.53314,3,9054.0
18.227,42.5844,3,10065.0
18.36797,42.52151,3,7908.0
17.23474,43.95074,4,25256.0
17.43672,44.07229,3,21705.0
17.44413,44.08879,3,25211.0
16.78566,43.89196,3,29555.0
16.90036,44.32026,3,1267.0
17.0419,44.46145,4,419523.0
17.16555,44.36022,3,416649.0
17.07812,44.2847,3,8273.0
17.18228,44.77856,3,8333.0
16.39984,45.04592,3,3750.0
16.55626,45.25435,3,20155.0
14.26974,47.53591,3,89782.0
14.47082,47.47478,3,90258.0
14.53936,47.2227,3,53339.0
14.74493,47.1883,3,45756.0
14.99714,47.34503,3,122364.0
15.24953,47.4179,3,121766.0
15.41274,47.06542,3,82602.0
15.68983,46.62574,3,72822.0
15.87552,46.42412,6,2491671.0
16.16182,46.42489,3,25250.0
16.56945,46.85856,3,22877.0
16.64341,47.05119,4,30247.0
16.60918,47.24141,6,51484.0
16.89786,47.11934,4,71532.0
17.19117,46.96995,3,57564.0
17.24951,46.70233,3,58373.0
17.35659,46.42412,4,82420.0
17.40911,46.33869,4,64736.0
17.81762,46.07901,3,216435.0
18.17522,46.07673,3,224293.0
18.28325,46.10735,4,229633.0
18.82043,45.84868,3,112773.0
18.71222,46.08666,4,190053.0
14.24144,45.88981,3,17024.0
14.285,45.94833,3,13508.0
14.49903,46.05305,3,101254.0
14.51112,46.09101,3,105320.0
14.54623,46.10406,3,4338.0
15.25849,46.23767,4,41947.0
14.56726,45.98987,4,107818.0
14.99638,45.91468,3,107646.0
15.09999,45.86359,3,106873.0
15.48702,45.9355,3,60102.0
15.88605,45.8237,5,63391.0
16.37311,45.49922,3,23403.0
16.12407,45.80292,4,39282.0
16.27993,46.12818,3,47834.0
16.18236,46.33011,3,2439580.0
17.11008,46.02503,4,2397177.0
17.41851,45.90698,3,2234669.0
17.96265,45.78668,4,2245004.0
18.6756,45.5708,5,2346984.0
17.8614,45.4227,5,116059.0
18.11611,46.34072,3,16048.0
18.37704,46.57811,3,4693.0
18.49533,46.82843,3,3034.0
18.393,47.09431,5,27755.0
18.45081,47.16241,3,27645.0
18.54695,47.23498,3,7353.0
18.89841,47.32876,3,10281.0
19.01992,47.45953,3,9793.0
19.02186,47.54816,3,3152.0
19.04437,47.59063,3,0.0
18.64304,47.76135,3,8459.0
18.65606,47.74338,3,7765.0
19.00921,47.61125,3,4187.0
18.14081,47.75195,4,10637.0
18.38832,47.59096,4,10745.0
18.6191,47.48198,3,5522.0
18.82593,47.47208,3,6151.0
18.70566,46.39096,3,43687.0
18.78993,46.35564,1,0.0
18.72101,46.41729,3,46411.0
18.77081,46.45869,3,39943.0
18.92129,47.02458,3,12987.0
18.84745,47.16004,3,12233.0
17.43643,47.15384,3,13943.0
17.30388,47.15254,3,14391.0
17.92414,47.15316,3,12657.0
17.6205,47.70358,5,44926.0
17.88291,47.73398,3,41686.0
18.10016,47.66727,4,29623.0
18.05906,47.51511,3,16127.0
18.29775,47.30271,4,23370.0
18.47436,47.38962,4,5858.0
18.03184,47.11135,3,12341.0
18.19124,47.0316,3,10336.0
18.24238,46.95409,4,10180.0
18.06749,46.38251,3,15266.0
17.23107,45.61742,5,44813.0
16.76189,45.49733,3,65648.0
16.81842,45.497,5,67323.0
17.12243,45.46024,4,65068.0
17.68666,45.41925,3,107545.0
15.56324,45.54031,3,1376.0
15.48832,45.42855,4,98826.0
16.29435,45.38175,3,29910.0
16.35622,45.4354,3,46171.0
